2018-11-30 14:58:24,097 [Worker-0: Loading available Gradle versions] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2018-11-30 15:01:24,976 [Worker-0: Creating project "WebCrawler"] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: WebCrawler:WebCrawler:0.0.1-SNAPSHOT @ D:\sts\sts-4.0.0.RELEASE\D\SubashDemo1\WebCrawler\pom.xml.
2018-11-30 15:01:26,000 [Worker-0: Creating project "WebCrawler"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /WebCrawler/src/main/java
2018-11-30 15:01:26,002 [Worker-0: Creating project "WebCrawler"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /WebCrawler/src/main/resources
2018-11-30 15:01:26,003 [Worker-0: Creating project "WebCrawler"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /WebCrawler/src/test/java
2018-11-30 15:01:26,003 [Worker-0: Creating project "WebCrawler"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /WebCrawler/src/test/resources
2018-11-30 15:01:27,931 [Worker-10: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-30 15:01:27,937 [Worker-10: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-30 15:01:27,941 [Worker-10: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-30 15:01:27,942 [Worker-10: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-30 15:09:18,909 [Worker-12: Building workspace] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: WebCrawler:WebCrawler:0.0.1-SNAPSHOT @ D:\sts\sts-4.0.0.RELEASE\D\SubashDemo1\WebCrawler\pom.xml.
2018-11-30 15:09:19,393 [Worker-12: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-30 15:09:19,396 [Worker-12: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-30 15:09:19,399 [Worker-12: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-30 15:09:19,400 [Worker-12: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-30 15:09:20,779 [Worker-13: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-30 15:09:20,782 [Worker-13: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-30 15:09:20,783 [Worker-13: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-30 15:09:20,784 [Worker-13: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-30 15:09:59,371 [Worker-8: Building workspace] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: WebCrawler:WebCrawler:0.0.1-SNAPSHOT @ D:\sts\sts-4.0.0.RELEASE\D\SubashDemo1\WebCrawler\pom.xml.
